name,file_name
"flag-1","team1.png"
"flag-2","team2.png"
"flag-3","team3.png"
"flag-4","team4.png"
"flag-5","team5.png"
"flag-6","team6.png"
"flag-7","team7.png"
"flag-8","team8.png"
"flag-9","team9.png"
"flag-10","team10.png"
"flag-11","team11.png"
"flag-12","team12.png"
"flag-13","team13.png"
"flag-14","team14.png"
"flag-15","team15.png"
"flag-16","team16.png"
"flag-17","team17.png"
"flag-18","team18.png"
"flag-19","team19.png"
"flag-20","team20.png"
"flag-21","team21.png"
"flag-22","team22.png"
"flag-23","team23.png"
"flag-24","team24.png"
"flag-25","team25.png"
"flag-26","team26.png"
"flag-27","team27.png"
"flag-28","team28.png"
"flag-29","team29.png"
"flag-30","team30.png"
"flag-31","team31.png"
"flag-32","team32.png"
"flag-33","team33.png"
"flag-34","team34.png"
"flag-35","team35.png"
"flag-36","team36.png"
"flag-37","team37.png"
"flag-38","team38.png"
"flag-39","team39.png"
"flag-40","team40.png"
